Ticker;Name;ISIN;Currency;MarketPlace;List/segment;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Trades;Volume;Turnover;Industry;Supersector
AMG1L;Amber Grid;LT0000128696;EUR;VLN;Baltic Secondary List;1,06;1,06;1,06;1,06;1,06;1,06;;1,04;1,06;3;54;57,24;Energy;Energy
APG1L;Apranga;LT0000102337;EUR;VLN;Baltic Main List;1,69426564;1,7;1,7;1,69;1,7;1,695;-0,29;1,69;1,7;16;1886;3195,385;Consumer Discretionary;Retail
ARC1T;Arco Vara;EE3100034653;EUR;TLN;Baltic Main List;1,39745698;1,41;1,41;1,38;1,41;1,38;-2,13;1,38;1,4;8;523;730,87;Real Estate;Real Estate
AUG1L;AUGA group;LT0000127466;EUR;VLN;Baltic Main List;0,44372217;0,444;0,444;0,44;0,44;0,444;0,91;0,44;0,444;24;27182;12061,256;Consumer Staples ;Food, Beverage and Tobacco 
BAL1R;Latvijas balzams;LV0000100808;EUR;RIG;Baltic Secondary List;;9;;;9;9;;9;9,05;;;;Consumer Staples ;Food, Beverage and Tobacco 
BLT1T;Baltika;EE3100145616;EUR;TLN;Baltic Main List;0,42811873;0,428;0,43;0,425;0,428;0,425;-0,7;0,423;0,428;14;758;324,514;Consumer Discretionary;Consumer Products and Services
BTE1R;Baltic Technology Ventures;LV0000101772;EUR;RIG;First North Baltic Share List;0,30898716;0,33;0,33;0,3;0,33;0,3;-9,09;0,302;0,334;12;4206;1299,6;Telecommunications;Telecommunications
CPA1T;Coop Pank;EE3100007857;EUR;TLN;Baltic Main List;1,47616683;1,488;1,492;1,456;1,462;1,462;;1,46;1,468;230;81774;120712,066;Financials;Banks
DPK1R;Ditton pievadķēžu rūpnīca;LV0000100212;EUR;RIG;Baltic Secondary List;0,14704762;0,147;0,148;0,147;0,145;0,148;2,07;0,147;0,148;2;105;15,44;Basic Materials;Basic Resources
EEG1T;Ekspress Grupp;EE3100016965;EUR;TLN;Baltic Main List;0,92692964;0,925;0,945;0,92;0,92;0,945;2,72;0,925;0,935;14;2814;2608,38;Consumer Discretionary;Media
EFT1T;EfTEN Real Estate Fund III;EE3100127242;EUR;TLN;Baltic Main List;19,28378906;19,4;19,4;19,1;19,4;19,1;-1,55;19,1;19,4;18;1024;19746,6;Financials;Financial Services
EWA1L;East West Agro;LT0000132060;EUR;VLN;First North Baltic Share List;;6,8;;;6,8;6,8;;6,5;6,8;;;;Industrials;Industrial Goods and Services
FRGTE;Frigate;LV0000101665;EUR;RIG;First North Baltic Share List;;;;;;;;;;;;;Financials;Financial Services
GRD1R;Grindeks;LV0000100659;EUR;RIG;Baltic Main List;12,90185185;12,9;13,05;12,9;12,9;13,05;1,16;12,9;13,05;5;81;1045,05;Health Care;Health Care
GRG1L;Grigeo;LT0000102030;EUR;VLN;Baltic Main List;1,33096899;1,33;1,335;1,33;1,315;1,33;1,14;1,325;1,335;8;1032;1373,56;Basic Materials;Basic Resources
GZE1R;Latvijas Gāze;LV0000100899;EUR;RIG;Baltic Secondary List;10,8;10,8;10,8;10,8;10,8;10,8;;10,7;10,8;4;23;248,4;Utilities;Utilities
HAE1T;Harju Elekter;EE3100004250;EUR;TLN;Baltic Main List;7,44019465;7,98;7,98;7,12;8,08;7,22;-10,64;7,2;7,22;369;16440;122316,8;Industrials;Industrial Goods and Services
HMX1R;HansaMatrix;LV0000101590;EUR;RIG;Baltic Main List;;9,05;;;9,05;9,05;;9;9,05;;;;Technology;Technology
IGN1L;Ignitis grupė;LT0000115768;EUR;VLN;Baltic Main List;21,26336232;21,3;21,3;21,2;21,3;21,25;-0,23;21,2;21,25;59;1725;36679,3;Utilities;Utilities
INC1L;INVL Technology;LT0000128860;EUR;VLN;Baltic Secondary List;2,12;2,12;2,12;2,12;2,14;2,12;-0,93;2,1;2,12;1;935;1982,2;Financials;Financial Services
INL1L;INVL Baltic Farmland;LT0000128753;EUR;VLN;Baltic Secondary List;5,3;5,3;5,3;5,3;5,3;5,3;;5,3;5,45;1;1;5,3;Real Estate;Real Estate
INR1L;INVL Baltic Real Estate;LT0000127151;EUR;VLN;Baltic Secondary List;2,22;2,22;2,22;2,22;2,2;2,22;0,91;2,22;2,24;1;4;8,88;Real Estate;Real Estate
IVL1L;Invalda INVL;LT0000102279;EUR;VLN;Baltic Secondary List;8,2;8,2;8,2;8,2;8,2;8,2;;8,1;8,2;1;3;24,6;Financials;Financial Services
K2LT;K2 LT;LT0000129009;EUR;VLN;First North Baltic Share List;29,6;29,6;29,6;29,6;29,6;29,6;;29,2;29,6;1;1;29,6;Consumer Discretionary;Consumer Products and Services
KA11R;"Likvidējamā AS ""Kurzemes atslēga 1""";LV0000100402;EUR;RIG;Baltic Secondary List;0,66;0,66;0,66;0,66;0,66;0,66;;0,6;0,66;1;1;0,66;Consumer Discretionary;Consumer Products and Services
KNF1L;Klaipėdos nafta;LT0000111650;EUR;VLN;Baltic Main List;0,31825032;0,319;0,319;0,318;0,318;0,319;0,31;0,318;0,319;18;7790;2479,17;Industrials;Industrial Goods and Services
